Time,Temperature,Change in Length
978.5012817,771.0907593,81.36452484
978.5385742,769.1851196,81.15924072
978.5756836,768.6124268,80.97039032
978.612854,768.2201538,80.8417511
978.6501465,767.612854,80.67205811
978.6872559,766.2136841,80.42299652
978.7244263,765.203186,80.06991577
978.7617188,764.4246826,79.86737823
978.7988281,763.9053345,79.68399048
978.8373413,762.678833,79.47052002
978.8726807,761.6089478,79.2515564
978.9098511,760.8259277,78.94774628
978.9470215,759.3964233,78.45508575
978.984314,757.7058716,78.15675354
979.0214233,756.4766846,78.15401459
979.0596924,756.3808594,78.04453278
979.0969238,756.2746582,77.97064209
979.1340332,755.5519409,77.75167084
979.1712647,754.4213867,77.4095459
979.2085571,752.8754883,77.07015991
979.2457275,752.0113525,76.85941315
979.2828369,751.2877197,76.7362442
979.3181763,750.7729492,76.54465485
979.3572388,749.633728,76.31475067
979.3943481,749.0742798,76.08209991
979.4296875,748.09198,75.89324951
979.466919,747.1201782,75.67155457
979.5040283,745.9243164,75.29658508
979.5412598,744.1712647,75.03656769
979.5784302,743.7035523,74.89150238
979.6155396,743.0360718,74.78475952
979.652771,742.269043,74.58769989
979.6899414,741.281311,74.18535614
979.7271118,739.7285767,73.87607574
979.7644043,738.9501343,73.67079926
979.8015137,737.923523,73.57500458
979.840271,737.2996216,73.41899872
979.8756714,736.7791748,73.13708496
979.9128418,735.2757568,72.47199249
979.9500122,733.1712647,72.22566223
979.9873047,732.0803833,72.31598663
980.0244751,732.1665649,72.3077774
980.0626831,732.2806397,72.14903259
980.0999146,731.8212891,71.75216675
980.137085,729.1716309,71.13907623
980.1741943,727.3601074,70.96116638
980.2114868,727.0524902,71.04875183
980.2486572,727.2633057,71.02138519
980.2885742,726.5716553,70.7257843
980.3219605,725.5994873,70.18112183
980.3591309,723.1485596,69.55982208
980.3962402,721.7421265,69.60087585
980.4334717,721.8011475,69.72678375
980.4707031,721.8634644,69.60635376
980.5078125,721.0699463,69.39833832
980.545044,720.2414551,69.10822296
980.5822144,719.3331299,68.75514221
980.6194458,717.6787109,68.39385986
980.6565552,716.1689453,68.17490387
980.6937256,715.7141724,68.12016296
980.7310181,715.4537354,67.96688843
980.7681274,714.6690064,67.72329712
980.8052979,713.5192261,67.47149658
980.8423462,712.4732056,67.1457901
980.8794556,711.4407959,66.89672089
980.916626,710.50177,66.74071503
980.9539185,709.7156982,66.61207581
980.9910278,708.9432983,66.31100464
981.0281982,707.899292,66.03182983
981.0654907,706.6838989,65.70612335
981.1026001,705.1094971,65.43516541
981.1397705,704.1791382,65.34210205
981.177063,703.9001465,65.25178528
981.2141724,703.5656128,65.07387543
981.2513428,702.6660156,64.87407684
981.2886353,701.5742798,64.52100372
981.3257446,700.203125,64.15151215
981.362915,698.942688,64.00918579
981.4002075,698.6459961,63.92433929
981.4373169,697.8952637,63.65337753
981.4744873,696.5991821,63.24008942
981.5117798,694.8652344,62.92807007
981.5488892,694.1239624,62.86785889
981.5860596,693.546936,62.77206039
981.623291,693.2705078,62.64068604
981.6604004,692.4376831,62.22192383
981.6976318,690.3515015,61.66631317
981.7348633,688.659668,61.63620758
981.7719727,688.7017212,61.65810013
981.8091431,688.4985352,61.55957031
981.8463745,688.078064,61.32144928
981.883606,686.609314,60.78226089
981.9207153,684.6485596,60.51950836
981.9580689,683.5573731,60.48940277
981.9952393,683.3502808,60.40455627
982.0323486,683.1852417,60.31149673
982.0709839,682.3391724,59.8845253
982.1065674,680.5619507,59.29880524
982.1437378,677.753479,58.95394516
982.1809692,677.2822876,59.17564011
982.2180786,677.7147827,59.24132919
982.255249,677.9257813,59.09900284
982.2924805,677.2927856,58.83078003
982.3296509,676.2057495,58.32990646
982.3668213,673.4425049,57.72776794
982.4041138,671.3074951,57.61554718
982.4412842,671.3251343,57.73597717
982.4783936,671.9558716,57.70587158
